Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of the Crypt	100	1	1	80		60				22	311	regen-mana		27	34	mana/lvl	3									amul										0	0	0
of the Crypt	100	1	1	95		66				20	311	regen-mana		32	39	mana/lvl	3									amul										0	0	0
																																						
of Belief	100	1	1	20	45	18				8	312	allskills		1	1											amul										0	0	0
of Belief	100	1	1	60		48				6	312	allskills		1	1											amul										0	0	0
of Faith	100	1	1	80		60				4	312	allskills		1	2											amul										0	0	0
of Faith	100	1	1	95		66				2	312	allskills		2	2											amul										0	0	0
																																						
	100	1	1	5	15	3				28	350	str		3	6											jewl										0	0	0
	100	1	1	15	35	12				28	350	str		4	8											jewl										0	0	0
	100	1	1	25	60	24				28	350	str		5	10											jewl										0	0	0
	100	1	1	45	95	42				26	350	str		6	12											jewl										0	0	0
	100	1	1	80		60				22	350	str		7	14											jewl										0	0	0
	100	1	1	95		66				18	350	str		8	16											jewl										0	0	0
	100	1	1	95		66				2	350	str		10	18	str%		1	2							jewl										0	0	0
																																						
	100	1	1	5	15	3				28	351	dex		3	6											jewl										0	0	0
	100	1	1	15	35	12				28	351	dex		4	8											jewl										0	0	0
	100	1	1	25	60	24				28	351	dex		5	10											jewl										0	0	0
	100	1	1	45	95	42				26	351	dex		6	12											jewl										0	0	0
	100	1	1	80		60				22	351	dex		7	14											jewl										0	0	0
	100	1	1	95		66				18	351	dex		8	16											jewl										0	0	0
	100	1	1	95		66				2	351	dex		10	18	dex%		1	2							jewl										0	0	0
																																						
	100	1	1	5	15	3				28	352	enr		3	6											jewl										0	0	0
	100	1	1	15	35	12				28	352	enr		4	8											jewl										0	0	0
	100	1	1	25	60	24				28	352	enr		5	10											jewl										0	0	0
	100	1	1	45	95	42				26	352	enr		6	12											jewl										0	0	0
	100	1	1	80		60				22	352	enr		7	14											jewl										0	0	0
	100	1	1	95		66				18	352	enr		8	16											jewl										0	0	0
	100	1	1	95		66				2	352	enr		10	18	enr%		1	2							jewl										0	0	0
																																						
	100	1	1	5	15	3				28	353	vit		3	6											jewl										0	0	0
	100	1	1	15	35	12				28	353	vit		4	8											jewl										0	0	0
	100	1	1	25	60	24				28	353	vit		5	10											jewl										0	0	0
	100	1	1	45	95	42				26	353	vit		6	12											jewl										0	0	0
	100	1	1	80		60				22	353	vit		7	14											jewl										0	0	0
	100	1	1	95		66				18	353	vit		8	16											jewl										0	0	0
	100	1	1	95		66				2	353	vit		10	18	vit%		1	2							jewl										0	0	0
																																						
	100	1	1	5	15	3				26	354	extra-fire		1	3											jewl										0	0	0
	100	1	1	15	35	12				26	354	extra-fire		2	4											jewl										0	0	0
	100	1	1	25	60	24				26	354	extra-fire		3	5											jewl										0	0	0
	100	1	1	45	95	42				24	354	extra-fire		4	6											jewl										0	0	0
	100	1	1	80		60				22	354	extra-fire		5	7											jewl										0	0	0
	100	1	1	95		66				16	354	extra-fire		6	8											jewl										0	0	0
	100	1	1	95		66				2	354	extra-fire		7	9	pierce-fire		1	1							jewl										0	0	0
																																						
	100	1	1	5	15	3				26	354	extra-cold		1	3											jewl										0	0	0
	100	1	1	15	35	12				26	354	extra-cold		2	4											jewl										0	0	0
	100	1	1	25	60	24				26	354	extra-cold		3	5											jewl										0	0	0
	100	1	1	45	95	42				24	354	extra-cold		4	6											jewl										0	0	0
	100	1	1	80		60				22	354	extra-cold		5	7											jewl										0	0	0
	100	1	1	95		66				16	354	extra-cold		6	8											jewl										0	0	0
	100	1	1	95		66				2	354	extra-cold		7	9	pierce-cold		1	1							jewl										0	0	0
																																						
	100	1	1	5	15	3				26	354	extra-ltng		1	3											jewl										0	0	0
	100	1	1	15	35	12				26	354	extra-ltng		2	4											jewl										0	0	0
	100	1	1	25	60	24				26	354	extra-ltng		3	5											jewl										0	0	0
	100	1	1	45	95	42				24	354	extra-ltng		4	6											jewl										0	0	0
	100	1	1	80		60				22	354	extra-ltng		5	7											jewl										0	0	0
	100	1	1	95		66				16	354	extra-ltng		6	8											jewl										0	0	0
	100	1	1	95		66				2	354	extra-ltng		7	9	pierce-ltng		1	1							jewl										0	0	0
																																						
	100	1	1	5	15	3				26	354	extra-pois		1	3											jewl										0	0	0
	100	1	1	15	35	12				26	354	extra-pois		2	4											jewl										0	0	0
	100	1	1	25	60	24				26	354	extra-pois		3	5											jewl										0	0	0
	100	1	1	45	95	42				24	354	extra-pois		4	6											jewl										0	0	0
	100	1	1	80		60				22	354	extra-pois		5	7											jewl										0	0	0
	100	1	1	95		66				16	354	extra-pois		6	8											jewl										0	0	0
	100	1	1	95		66				2	354	extra-pois		7	9	pierce-pois		1	1							jewl										0	0	0
																																						
	100	1	1	5	15	3				26	354	extra-mag2		1	3											jewl										0	0	0
	100	1	1	15	35	12				26	354	extra-mag2		2	4											jewl										0	0	0
	100	1	1	25	60	24				26	354	extra-mag2		3	5											jewl										0	0	0
	100	1	1	45	95	42				24	354	extra-mag2		4	6											jewl										0	0	0
	100	1	1	80		60				22	354	extra-mag2		5	7											jewl										0	0	0
	100	1	1	95		66				16	354	extra-mag2		6	8											jewl										0	0	0
	100	1	1	95		66				2	354	extra-mag2		7	9	pierce-mag		1	1							jewl										0	0	0
																																						
	100	1	1	5	15	3				26	354	extra-wind		1	3											jewl										0	0	0
	100	1	1	15	35	12				26	354	extra-wind		2	4											jewl										0	0	0
	100	1	1	25	60	24				26	354	extra-wind		3	5											jewl										0	0	0
	100	1	1	45	95	42				24	354	extra-wind		4	6											jewl										0	0	0
	100	1	1	80		60				22	354	extra-wind		5	7											jewl										0	0	0
	100	1	1	95		66				16	354	extra-wind		6	8											jewl										0	0	0
	100	1	1	95		66				2	354	extra-wind		7	9	pierce-phys		1	1							jewl										0	0	0
																																						
	100	1	1	20	45	18				13	355	gold%		3	6											jewl										0	0	0
	100	1	1	60		48				12	355	gold%		5	8											jewl										0	0	0
	100	1	1	80		60				11	355	gold%		7	10											jewl										0	0	0
	100	1	1	95		66				10	355	gold%		9	12											jewl										0	0	0
	100	1	1	95		66				2	355	gold%/lvl	2													jewl										0	0	0
																																						
	100	1	1	20	45	18				13	356	mag%		3	6											jewl										0	0	0
	100	1	1	60		48				12	356	mag%		5	8											jewl										0	0	0
	100	1	1	80		60				11	356	mag%		7	10											jewl										0	0	0
	100	1	1	95		66				10	356	mag%		9	12											jewl										0	0	0
	100	1	1	95		66				2	356	mag%/lvl	2													jewl										0	0	0
																																						
	100	1	1	20	45	18				24	357	swing1		4	8											jewl										0	0	0
	100	1	1	60		48				24	357	swing1		6	10											jewl										0	0	0
	100	1	1	80		60				24	357	swing2		8	12											jewl										0	0	0
	100	1	1	95		66				24	357	swing2		10	14											jewl										0	0	0
																																						
	100	1	1	20	45	18				24	357	balance1		4	8											jewl										0	0	0
	100	1	1	60		48				24	357	balance1		6	10											jewl										0	0	0
	100	1	1	80		60				24	357	balance2		8	12											jewl										0	0	0
	100	1	1	95		66				24	357	balance2		10	14											jewl										0	0	0
																																						
	100	1	1	20	45	18				24	357	cast1		4	8											jewl										0	0	0
	100	1	1	60		48				24	357	cast1		6	10											jewl										0	0	0
	100	1	1	80		60				24	357	cast2		8	12											jewl										0	0	0
	100	1	1	95		66				24	357	cast2		10	14											jewl										0	0	0
																																						
	100	1	1	20	45	18				16	358	res-curse-len		2	4											jewl										0	0	0
	100	1	1	60		48				12	358	res-curse-len		4	6											jewl										0	0	0
	100	1	1	80		60				8	358	res-curse-len		6	8											jewl										0	0	0
	100	1	1	95		66				4	358	res-curse-len		8	10											jewl										0	0	0
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
